"Notes","County of Residence","County of Residence Code","Month","Month Code",Births
,"Kings County, NY","36047","March","3",2850
,"Kings County, NY","36047","April","4",2559
,"Kings County, NY","36047","May","5",2863
,"Kings County, NY","36047","June","6",2598
,"Kings County, NY","36047","July","7",2798
,"Kings County, NY","36047","August","8",2815
,"Kings County, NY","36047","September","9",2692
,"Kings County, NY","36047","October","10",2825
,"Kings County, NY","36047","November","11",2745
,"Kings County, NY","36047","December","12",2900
"Total","Kings County, NY","36047",,,33181
,"Monroe County, NY","36055","January","1",558
,"Monroe County, NY","36055","February","2",578
,"Monroe County, NY","36055","March","3",572
,"Monroe County, NY","36055","April","4",578
,"Monroe County, NY","36055","May","5",598
,"Monroe County, NY","36055","June","6",583
,"Monroe County, NY","36055","July","7",600
,"Monroe County, NY","36055","August","8",590
,"Monroe County, NY","36055","September","9",587
,"Monroe County, NY","36055","October","10",582
,"Monroe County, NY","36055","November","11",572
,"Monroe County, NY","36055","December","12",572
"Total","Monroe County, NY","36055",,,6970
,"Nassau County, NY","36059","January","1",1102
,"Nassau County, NY","36059","February","2",1097
,"Nassau County, NY","36059","March","3",1111
,"Nassau County, NY","36059","April","4",1110
,"Nassau County, NY","36059","May","5",1140
,"Nassau County, NY","36059","June","6",1063
,"Nassau County, NY","36059","July","7",1194
,"Nassau County, NY","36059","August","8",1183
,"Nassau County, NY","36059","September","9",1169
,"Nassau County, NY","36059","October","10",1190
,"Nassau County, NY","36059","November","11",1093
,"Nassau County, NY","36059","December","12",1073
"Total","Nassau County, NY","36059",,,13525
,"New York County, NY","36061","January","1",1176
,"New York County, NY","36061","February","2",1101
,"New York County, NY","36061","March","3",1173
,"New York County, NY","36061","April","4",1267
,"New York County, NY","36061","May","5",1292
,"New York County, NY","36061","June","6",1127
,"New York County, NY","36061","July","7",1291
,"New York County, NY","36061","August","8",1251
,"New York County, NY","36061","September","9",1190
,"New York County, NY","36061","October","10",1259
,"New York County, NY","36061","November","11",1184
,"New York County, NY","36061","December","12",1197
"Total","New York County, NY","36061",,,14508
,"Niagara County, NY","36063","January","1",140
,"Niagara County, NY","36063","February","2",151
,"Niagara County, NY","36063","March","3",150
,"Niagara County, NY","36063","April","4",182
,"Niagara County, NY","36063","May","5",148
,"Niagara County, NY","36063","June","6",168
,"Niagara County, NY","36063","July","7",158
,"Niagara County, NY","36063","August","8",183
,"Niagara County, NY","36063","September","9",132
,"Niagara County, NY","36063","October","10",134
,"Niagara County, NY","36063","November","11",137
,"Niagara County, NY","36063","December","12",136
"Total","Niagara County, NY","36063",,,1819
,"Oneida County, NY","36065","January","1",192
,"Oneida County, NY","36065","February","2",178
,"Oneida County, NY","36065","March","3",189
,"Oneida County, NY","36065","April","4",167
,"Oneida County, NY","36065","May","5",163
,"Oneida County, NY","36065","June","6",171
,"Oneida County, NY","36065","July","7",196
,"Oneida County, NY","36065","August","8",209
,"Oneida County, NY","36065","September","9",190
,"Oneida County, NY","36065","October","10",169
,"Oneida County, NY","36065","November","11",163
,"Oneida County, NY","36065","December","12",188
"Total","Oneida County, NY","36065",,,2175
,"Onondaga County, NY","36067","January","1",343
,"Onondaga County, NY","36067","February","2",338
,"Onondaga County, NY","36067","March","3",375
,"Onondaga County, NY","36067","April","4",353
,"Onondaga County, NY","36067","May","5",336
,"Onondaga County, NY","36067","June","6",388
,"Onondaga County, NY","36067","July","7",370
,"Onondaga County, NY","36067","August","8",405
,"Onondaga County, NY","36067","September","9",354
,"Onondaga County, NY","36067","October","10",349
,"Onondaga County, NY","36067","November","11",370
,"Onondaga County, NY","36067","December","12",378
"Total","Onondaga County, NY","36067",,,4359
,"Ontario County, NY","36069","January","1",75
,"Ontario County, NY","36069","February","2",72
,"Ontario County, NY","36069","March","3",96
,"Ontario County, NY","36069","April","4",67
,"Ontario County, NY","36069","May","5",80
,"Ontario County, NY","36069","June","6",91
,"Ontario County, NY","36069","July","7",93
,"Ontario County, NY","36069","August","8",81
,"Ontario County, NY","36069","September","9",65
,"Ontario County, NY","36069","October","10",77
,"Ontario County, NY","36069","November","11",68
,"Ontario County, NY","36069","December","12",102
"Total","Ontario County, NY","36069",,,967
,"Orange County, NY","36071","January","1",488
,"Orange County, NY","36071","February","2",424
,"Orange County, NY","36071","March","3",434
,"Orange County, NY","36071","April","4",465
,"Orange County, NY","36071","May","5",505
,"Orange County, NY","36071","June","6",448
,"Orange County, NY","36071","July","7",499
,"Orange County, NY","36071","August","8",497
,"Orange County, NY","36071","September","9",488
,"Orange County, NY","36071","October","10",475
,"Orange County, NY","36071","November","11",495
,"Orange County, NY","36071","December","12",471
"Total","Orange County, NY","36071",,,5689
,"Oswego County, NY","36075","January","1",99
,"Oswego County, NY","36075","February","2",89
,"Oswego County, NY","36075","March","3",78
,"Oswego County, NY","36075","April","4",95
,"Oswego County, NY","36075","May","5",108
,"Oswego County, NY","36075","June","6",86
,"Oswego County, NY","36075","July","7",104
,"Oswego County, NY","36075","August","8",112
,"Oswego County, NY","36075","September","9",71
,"Oswego County, NY","36075","October","10",96
,"Oswego County, NY","36075","November","11",91
,"Oswego County, NY","36075","December","12",102
"Total","Oswego County, NY","36075",,,1131
,"Queens County, NY","36081","January","1",1958
,"Queens County, NY","36081","February","2",1924
,"Queens County, NY","36081","March","3",2021
,"Queens County, NY","36081","April","4",1895
,"Queens County, NY","36081","May","5",2001
,"Queens County, NY","36081","June","6",1927
,"Queens County, NY","36081","July","7",2094
,"Queens County, NY","36081","August","8",2251
,"Queens County, NY","36081","September","9",1998
,"Queens County, NY","36081","October","10",2062
,"Queens County, NY","36081","November","11",2016
,"Queens County, NY","36081","December","12",2026
"Total","Queens County, NY","36081",,,24173
,"Rensselaer County, NY","36083","January","1",147
,"Rensselaer County, NY","36083","February","2",113
,"Rensselaer County, NY","36083","March","3",111
,"Rensselaer County, NY","36083","April","4",131
,"Rensselaer County, NY","36083","May","5",138
,"Rensselaer County, NY","36083","June","6",118
,"Rensselaer County, NY","36083","July","7",139
,"Rensselaer County, NY","36083","August","8",118
,"Rensselaer County, NY","36083","September","9",120
,"Rensselaer County, NY","36083","October","10",118
,"Rensselaer County, NY","36083","November","11",109
,"Rensselaer County, NY","36083","December","12",120
"Total","Rensselaer County, NY","36083",,,1482
,"Richmond County, NY","36085","January","1",382
,"Richmond County, NY","36085","February","2",405
,"Richmond County, NY","36085","March","3",400
,"Richmond County, NY","36085","April","4",403
,"Richmond County, NY","36085","May","5",475
,"Richmond County, NY","36085","June","6",389
,"Richmond County, NY","36085","July","7",440
,"Richmond County, NY","36085","August","8",436
,"Richmond County, NY","36085","September","9",397
,"Richmond County, NY","36085","October","10",447
,"Richmond County, NY","36085","November","11",407
,"Richmond County, NY","36085","December","12",410
"Total","Richmond County, NY","36085",,,4991
,"Rockland County, NY","36087","January","1",599
,"Rockland County, NY","36087","February","2",581
,"Rockland County, NY","36087","March","3",557
,"Rockland County, NY","36087","April","4",523
,"Rockland County, NY","36087","May","5",583
,"Rockland County, NY","36087","June","6",524
,"Rockland County, NY","36087","July","7",621
,"Rockland County, NY","36087","August","8",597
,"Rockland County, NY","36087","September","9",585
,"Rockland County, NY","36087","October","10",582
,"Rockland County, NY","36087","November","11",571
,"Rockland County, NY","36087","December","12",660
"Total","Rockland County, NY","36087",,,6983
,"Saratoga County, NY","36091","January","1",138
,"Saratoga County, NY","36091","February","2",152
,"Saratoga County, NY","36091","March","3",169
,"Saratoga County, NY","36091","April","4",163
,"Saratoga County, NY","36091","May","5",201
,"Saratoga County, NY","36091","June","6",157
,"Saratoga County, NY","36091","July","7",184
,"Saratoga County, NY","36091","August","8",169
,"Saratoga County, NY","36091","September","9",189
,"Saratoga County, NY","36091","October","10",159
,"Saratoga County, NY","36091","November","11",137
,"Saratoga County, NY","36091","December","12",159
"Total","Saratoga County, NY","36091",,,1977
,"Schenectady County, NY","36093","January","1",127
,"Schenectady County, NY","36093","February","2",137
,"Schenectady County, NY","36093","March","3",141
,"Schenectady County, NY","36093","April","4",149
,"Schenectady County, NY","36093","May","5",145
,"Schenectady County, NY","36093","June","6",155
,"Schenectady County, NY","36093","July","7",135
,"Schenectady County, NY","36093","August","8",167
,"Schenectady County, NY","36093","September","9",111
,"Schenectady County, NY","36093","October","10",128
,"Schenectady County, NY","36093","November","11",150
,"Schenectady County, NY","36093","December","12",146
"Total","Schenectady County, NY","36093",,,1691
,"Suffolk County, NY","36103","January","1",1248
,"Suffolk County, NY","36103","February","2",1171
,"Suffolk County, NY","36103","March","3",1285
,"Suffolk County, NY","36103","April","4",1290
,"Suffolk County, NY","36103","May","5",1417
,"Suffolk County, NY","36103","June","6",1347
,"Suffolk County, NY","36103","July","7",1450
,"Suffolk County, NY","36103","August","8",1460
,"Suffolk County, NY","36103","September","9",1332
,"Suffolk County, NY","36103","October","10",1310
,"Suffolk County, NY","36103","November","11",1189
,"Suffolk County, NY","36103","December","12",1236
"Total","Suffolk County, NY","36103",,,15735
,"Tompkins County, NY","36109","January","1",58
,"Tompkins County, NY","36109","February","2",41
,"Tompkins County, NY","36109","March","3",50
,"Tompkins County, NY","36109","April","4",67
,"Tompkins County, NY","36109","May","5",57
,"Tompkins County, NY","36109","June","6",48
,"Tompkins County, NY","36109","July","7",42
,"Tompkins County, NY","36109","August","8",55
,"Tompkins County, NY","36109","September","9",53
,"Tompkins County, NY","36109","October","10",52
,"Tompkins County, NY","36109","November","11",35
,"Tompkins County, NY","36109","December","12",55
"Total","Tompkins County, NY","36109",,,613
,"Ulster County, NY","36111","January","1",120
,"Ulster County, NY","36111","February","2",98
,"Ulster County, NY","36111","March","3",125
,"Ulster County, NY","36111","April","4",119
,"Ulster County, NY","36111","May","5",136
,"Ulster County, NY","36111","June","6",113
,"Ulster County, NY","36111","July","7",138
,"Ulster County, NY","36111","August","8",116
,"Ulster County, NY","36111","September","9",122
,"Ulster County, NY","36111","October","10",112
,"Ulster County, NY","36111","November","11",120
,"Ulster County, NY","36111","December","12",119
"Total","Ulster County, NY","36111",,,1438
,"Westchester County, NY","36119","January","1",766
,"Westchester County, NY","36119","February","2",781
,"Westchester County, NY","36119","March","3",806
,"Westchester County, NY","36119","April","4",826
,"Westchester County, NY","36119","May","5",858
,"Westchester County, NY","36119","June","6",808
,"Westchester County, NY","36119","July","7",907
,"Westchester County, NY","36119","August","8",850
,"Westchester County, NY","36119","September","9",788
,"Westchester County, NY","36119","October","10",851
,"Westchester County, NY","36119","November","11",758
,"Westchester County, NY","36119","December","12",795
"Total","Westchester County, NY","36119",,,9794
,"Unidentified Counties, NY","36999","January","1",523
,"Unidentified Counties, NY","36999","February","2",466
,"Unidentified Counties, NY","36999","March","3",598
,"Unidentified Counties, NY","36999","April","4",529
,"Unidentified Counties, NY","36999","May","5",537
,"Unidentified Counties, NY","36999","June","6",553
,"Unidentified Counties, NY","36999","July","7",580
,"Unidentified Counties, NY","36999","August","8",567
,"Unidentified Counties, NY","36999","September","9",515
,"Unidentified Counties, NY","36999","October","10",547
,"Unidentified Counties, NY","36999","November","11",546
,"Unidentified Counties, NY","36999","December","12",505
"Total","Unidentified Counties, NY","36999",,,6466
,"Bell County, TX","48027","January","1",521
,"Bell County, TX","48027","February","2",431
,"Bell County, TX","48027","March","3",487
,"Bell County, TX","48027","April","4",441
,"Bell County, TX","48027","May","5",464
,"Bell County, TX","48027","June","6",472
,"Bell County, TX","48027","July","7",557
,"Bell County, TX","48027","August","8",560
,"Bell County, TX","48027","September","9",540
,"Bell County, TX","48027","October","10",525
,"Bell County, TX","48027","November","11",433
,"Bell County, TX","48027","December","12",505
"Total","Bell County, TX","48027",,,5936
,"Bexar County, TX","48029","January","1",2252
,"Bexar County, TX","48029","February","2",2137
,"Bexar County, TX","48029","March","3",2155
,"Bexar County, TX","48029","April","4",2067
,"Bexar County, TX","48029","May","5",2143
,"Bexar County, TX","48029","June","6",2021
,"Bexar County, TX","48029","July","7",2346
,"Bexar County, TX","48029","August","8",2386
,"Bexar County, TX","48029","September","9",2353
,"Bexar County, TX","48029","October","10",2382
,"Bexar County, TX","48029","November","11",2209
,"Bexar County, TX","48029","December","12",2339
"Total","Bexar County, TX","48029",,,26790
,"Brazoria County, TX","48039","January","1",404
,"Brazoria County, TX","48039","February","2",396
,"Brazoria County, TX","48039","March","3",400
,"Brazoria County, TX","48039","April","4",330
,"Brazoria County, TX","48039","May","5",392
,"Brazoria County, TX","48039","June","6",351
,"Brazoria County, TX","48039","July","7",408
,"Brazoria County, TX","48039","August","8",422
,"Brazoria County, TX","48039","September","9",414
,"Brazoria County, TX","48039","October","10",399
,"Brazoria County, TX","48039","November","11",392
,"Brazoria County, TX","48039","December","12",452
"Total","Brazoria County, TX","48039",,,4760
,"Brazos County, TX","48041","January","1",215
,"Brazos County, TX","48041","February","2",200
,"Brazos County, TX","48041","March","3",215
,"Brazos County, TX","48041","April","4",222
,"Brazos County, TX","48041","May","5",232
,"Brazos County, TX","48041","June","6",216
,"Brazos County, TX","48041","July","7",212
,"Brazos County, TX","48041","August","8",240
,"Brazos County, TX","48041","September","9",244
,"Brazos County, TX","48041","October","10",232
,"Brazos County, TX","48041","November","11",211
,"Brazos County, TX","48041","December","12",210
"Total","Brazos County, TX","48041",,,2649
,"Cameron County, TX","48061","January","1",498
,"Cameron County, TX","48061","February","2",480
,"Cameron County, TX","48061","March","3",403
,"Cameron County, TX","48061","April","4",422
,"Cameron County, TX","48061","May","5",498
,"Cameron County, TX","48061","June","6",439
,"Cameron County, TX","48061","July","7",509
,"Cameron County, TX","48061","August","8",515
,"Cameron County, TX","48061","September","9",525
,"Cameron County, TX","48061","October","10",532
,"Cameron County, TX","48061","November","11",477
,"Cameron County, TX","48061","December","12",540
"Total","Cameron County, TX","48061",,,5838
,"Collin County, TX","48085","January","1",1150
,"Collin County, TX","48085","February","2",1033
,"Collin County, TX","48085","March","3",1049
,"Collin County, TX","48085","April","4",1115
,"Collin County, TX","48085","May","5",1077
,"Collin County, TX","48085","June","6",1047
,"Collin County, TX","48085","July","7",1201
,"Collin County, TX","48085","August","8",1252
,"Collin County, TX","48085","September","9",1196
,"Collin County, TX","48085","October","10",1222
,"Collin County, TX","48085","November","11",1116
,"Collin County, TX","48085","December","12",1192
"Total","Collin County, TX","48085",,,13650
,"Comal County, TX","48091","January","1",178
,"Comal County, TX","48091","February","2",174
,"Comal County, TX","48091","March","3",179
,"Comal County, TX","48091","April","4",164
,"Comal County, TX","48091","May","5",168
,"Comal County, TX","48091","June","6",177
,"Comal County, TX","48091","July","7",188
,"Comal County, TX","48091","August","8",206
,"Comal County, TX","48091","September","9",181
,"Comal County, TX","48091","October","10",219
,"Comal County, TX","48091","November","11",176
,"Comal County, TX","48091","December","12",193
"Total","Comal County, TX","48091",,,2203
,"Dallas County, TX","48113","January","1",3020
,"Dallas County, TX","48113","February","2",2826
,"Dallas County, TX","48113","March","3",2868
,"Dallas County, TX","48113","April","4",2829
,"Dallas County, TX","48113","May","5",2914
,"Dallas County, TX","48113","June","6",2947
,"Dallas County, TX","48113","July","7",3203
,"Dallas County, TX","48113","August","8",3323
,"Dallas County, TX","48113","September","9",3235
,"Dallas County, TX","48113","October","10",3211
,"Dallas County, TX","48113","November","11",3018
,"Dallas County, TX","48113","December","12",3141
"Total","Dallas County, TX","48113",,,36535
,"Denton County, TX","48121","January","1",1010
,"Denton County, TX","48121","February","2",939
,"Denton County, TX","48121","March","3",995
,"Denton County, TX","48121","April","4",993
,"Denton County, TX","48121","May","5",986
,"Denton County, TX","48121","June","6",947
,"Denton County, TX","48121","July","7",1071
,"Denton County, TX","48121","August","8",1085
,"Denton County, TX","48121","September","9",999
,"Denton County, TX","48121","October","10",996
,"Denton County, TX","48121","November","11",976
,"Denton County, TX","48121","December","12",1095
"Total","Denton County, TX","48121",,,12092
,"Ector County, TX","48135","January","1",277
,"Ector County, TX","48135","February","2",242
,"Ector County, TX","48135","March","3",260
,"Ector County, TX","48135","April","4",214
,"Ector County, TX","48135","May","5",233
,"Ector County, TX","48135","June","6",225
,"Ector County, TX","48135","July","7",273
,"Ector County, TX","48135","August","8",310
,"Ector County, TX","48135","September","9",282
,"Ector County, TX","48135","October","10",281
,"Ector County, TX","48135","November","11",257
,"Ector County, TX","48135","December","12",259
"Total","Ector County, TX","48135",,,3113
,"Ellis County, TX","48139","January","1",235
,"Ellis County, TX","48139","February","2",212
,"Ellis County, TX","48139","March","3",238
,"Ellis County, TX","48139","April","4",232
,"Ellis County, TX","48139","May","5",219
,"Ellis County, TX","48139","June","6",225
,"Ellis County, TX","48139","July","7",254
,"Ellis County, TX","48139","August","8",293
,"Ellis County, TX","48139","September","9",264
,"Ellis County, TX","48139","October","10",260
,"Ellis County, TX","48139","November","11",229
,"Ellis County, TX","48139","December","12",253
"Total","Ellis County, TX","48139",,,2914
,"El Paso County, TX","48141","January","1",917
,"El Paso County, TX","48141","February","2",855
,"El Paso County, TX","48141","March","3",867
,"El Paso County, TX","48141","April","4",876
,"El Paso County, TX","48141","May","5",860
,"El Paso County, TX","48141","June","6",853
,"El Paso County, TX","48141","July","7",978
,"El Paso County, TX","48141","August","8",922
,"El Paso County, TX","48141","September","9",896
,"El Paso County, TX","48141","October","10",922
,"El Paso County, TX","48141","November","11",880
,"El Paso County, TX","48141","December","12",977
"Total","El Paso County, TX","48141",,,10803
,"Fort Bend County, TX","48157","January","1",764
,"Fort Bend County, TX","48157","February","2",727
,"Fort Bend County, TX","48157","March","3",747
,"Fort Bend County, TX","48157","April","4",716
,"Fort Bend County, TX","48157","May","5",780
,"Fort Bend County, TX","48157","June","6",752
,"Fort Bend County, TX","48157","July","7",835
,"Fort Bend County, TX","48157","August","8",835
,"Fort Bend County, TX","48157","September","9",799
,"Fort Bend County, TX","48157","October","10",875
,"Fort Bend County, TX","48157","November","11",732
,"Fort Bend County, TX","48157","December","12",838
"Total","Fort Bend County, TX","48157",,,9400
,"Galveston County, TX","48167","January","1",334
,"Galveston County, TX","48167","February","2",315
,"Galveston County, TX","48167","March","3",323
,"Galveston County, TX","48167","April","4",312
,"Galveston County, TX","48167","May","5",329
,"Galveston County, TX","48167","June","6",317
,"Galveston County, TX","48167","July","7",338
,"Galveston County, TX","48167","August","8",339
,"Galveston County, TX","48167","September","9",329
,"Galveston County, TX","48167","October","10",334
,"Galveston County, TX","48167","November","11",299
,"Galveston County, TX","48167","December","12",370
"Total","Galveston County, TX","48167",,,3939
,"Grayson County, TX","48181","January","1",150
,"Grayson County, TX","48181","February","2",126
,"Grayson County, TX","48181","March","3",150
,"Grayson County, TX","48181","April","4",129
,"Grayson County, TX","48181","May","5",143
,"Grayson County, TX","48181","June","6",164
,"Grayson County, TX","48181","July","7",153
,"Grayson County, TX","48181","August","8",172
,"Grayson County, TX","48181","September","9",157
,"Grayson County, TX","48181","October","10",153
,"Grayson County, TX","48181","November","11",147
,"Grayson County, TX","48181","December","12",144
"Total","Grayson County, TX","48181",,,1788
,"Gregg County, TX","48183","January","1",137
,"Gregg County, TX","48183","February","2",119
,"Gregg County, TX","48183","March","3",118
,"Gregg County, TX","48183","April","4",122
,"Gregg County, TX","48183","May","5",121
,"Gregg County, TX","48183","June","6",124
,"Gregg County, TX","48183","July","7",157
,"Gregg County, TX","48183","August","8",165
,"Gregg County, TX","48183","September","9",162
,"Gregg County, TX","48183","October","10",163
,"Gregg County, TX","48183","November","11",114
,"Gregg County, TX","48183","December","12",151
"Total","Gregg County, TX","48183",,,1653
,"Guadalupe County, TX","48187","January","1",174
,"Guadalupe County, TX","48187","February","2",182
,"Guadalupe County, TX","48187","March","3",179
,"Guadalupe County, TX","48187","April","4",157
,"Guadalupe County, TX","48187","May","5",177
,"Guadalupe County, TX","48187","June","6",159
,"Guadalupe County, TX","48187","July","7",206
,"Guadalupe County, TX","48187","August","8",225
,"Guadalupe County, TX","48187","September","9",221
,"Guadalupe County, TX","48187","October","10",212
,"Guadalupe County, TX","48187","November","11",178
,"Guadalupe County, TX","48187","December","12",214
"Total","Guadalupe County, TX","48187",,,2284
,"Harris County, TX","48201","January","1",5366
,"Harris County, TX","48201","February","2",4881
,"Harris County, TX","48201","March","3",5027
,"Harris County, TX","48201","April","4",4777
,"Harris County, TX","48201","May","5",5151
,"Harris County, TX","48201","June","6",5119
,"Harris County, TX","48201","July","7",5577
,"Harris County, TX","48201","August","8",5814
,"Harris County, TX","48201","September","9",5474
,"Harris County, TX","48201","October","10",5641
,"Harris County, TX","48201","November","11",5389
,"Harris County, TX","48201","December","12",5613
"Total","Harris County, TX","48201",,,63829
,"Hays County, TX","48209","January","1",278
,"Hays County, TX","48209","February","2",311
,"Hays County, TX","48209","March","3",267
,"Hays County, TX","48209","April","4",261
,"Hays County, TX","48209","May","5",307
,"Hays County, TX","48209","June","6",282
,"Hays County, TX","48209","July","7",309
,"Hays County, TX","48209","August","8",347
,"Hays County, TX","48209","September","9",314
,"Hays County, TX","48209","October","10",341
,"Hays County, TX","48209","November","11",332
,"Hays County, TX","48209","December","12",321
"Total","Hays County, TX","48209",,,3670
,"Hidalgo County, TX","48215","January","1",1145
,"Hidalgo County, TX","48215","February","2",1026
,"Hidalgo County, TX","48215","March","3",995
,"Hidalgo County, TX","48215","April","4",1067
,"Hidalgo County, TX","48215","May","5",1066
,"Hidalgo County, TX","48215","June","6",1042
,"Hidalgo County, TX","48215","July","7",1199
,"Hidalgo County, TX","48215","August","8",1253
,"Hidalgo County, TX","48215","September","9",1325
,"Hidalgo County, TX","48215","October","10",1239
,"Hidalgo County, TX","48215","November","11",1179
,"Hidalgo County, TX","48215","December","12",1204
"Total","Hidalgo County, TX","48215",,,13740
,"Jefferson County, TX","48245","January","1",252
,"Jefferson County, TX","48245","February","2",238
,"Jefferson County, TX","48245","March","3",238
,"Jefferson County, TX","48245","April","4",221
,"Jefferson County, TX","48245","May","5",227
,"Jefferson County, TX","48245","June","6",248
,"Jefferson County, TX","48245","July","7",263
,"Jefferson County, TX","48245","August","8",287
,"Jefferson County, TX","48245","September","9",273
,"Jefferson County, TX","48245","October","10",277
,"Jefferson County, TX","48245","November","11",250
,"Jefferson County, TX","48245","December","12",297
"Total","Jefferson County, TX","48245",,,3071
,"Johnson County, TX","48251","January","1",219
,"Johnson County, TX","48251","February","2",220
,"Johnson County, TX","48251","March","3",182
,"Johnson County, TX","48251","April","4",208
,"Johnson County, TX","48251","May","5",222
,"Johnson County, TX","48251","June","6",229
,"Johnson County, TX","48251","July","7",237
,"Johnson County, TX","48251","August","8",240
,"Johnson County, TX","48251","September","9",214
,"Johnson County, TX","48251","October","10",218
,"Johnson County, TX","48251","November","11",194
,"Johnson County, TX","48251","December","12",230
"Total","Johnson County, TX","48251",,,2613
,"Kaufman County, TX","48257","January","1",236
,"Kaufman County, TX","48257","February","2",246
,"Kaufman County, TX","48257","March","3",230
,"Kaufman County, TX","48257","April","4",248
,"Kaufman County, TX","48257","May","5",228
,"Kaufman County, TX","48257","June","6",214
,"Kaufman County, TX","48257","July","7",271
,"Kaufman County, TX","48257","August","8",297
,"Kaufman County, TX","48257","September","9",234
,"Kaufman County, TX","48257","October","10",275
,"Kaufman County, TX","48257","November","11",246
,"Kaufman County, TX","48257","December","12",268
"Total","Kaufman County, TX","48257",,,2993
,"Lubbock County, TX","48303","January","1",337
,"Lubbock County, TX","48303","February","2",341
,"Lubbock County, TX","48303","March","3",361
,"Lubbock County, TX","48303","April","4",356
,"Lubbock County, TX","48303","May","5",342
,"Lubbock County, TX","48303","June","6",317
,"Lubbock County, TX","48303","July","7",346
,"Lubbock County, TX","48303","August","8",352
,"Lubbock County, TX","48303","September","9",401
,"Lubbock County, TX","48303","October","10",393
,"Lubbock County, TX","48303","November","11",345
,"Lubbock County, TX","48303","December","12",351
"Total","Lubbock County, TX","48303",,,4242
,"McLennan County, TX","48309","January","1",283
,"McLennan County, TX","48309","February","2",277
,"McLennan County, TX","48309","March","3",292
,"McLennan County, TX","48309","April","4",249
,"McLennan County, TX","48309","May","5",254
,"McLennan County, TX","48309","June","6",274
,"McLennan County, TX","48309","July","7",240
,"McLennan County, TX","48309","August","8",284
,"McLennan County, TX","48309","September","9",286
,"McLennan County, TX","48309","October","10",303
,"McLennan County, TX","48309","November","11",280
,"McLennan County, TX","48309","December","12",308
"Total","McLennan County, TX","48309",,,3330
,"Midland County, TX","48329","January","1",260
,"Midland County, TX","48329","February","2",257
,"Midland County, TX","48329","March","3",239
,"Midland County, TX","48329","April","4",249
,"Midland County, TX","48329","May","5",276
,"Midland County, TX","48329","June","6",277
,"Midland County, TX","48329","July","7",288
,"Midland County, TX","48329","August","8",296
,"Midland County, TX","48329","September","9",284
,"Midland County, TX","48329","October","10",266
,"Midland County, TX","48329","November","11",273
,"Midland County, TX","48329","December","12",278
"Total","Midland County, TX","48329",,,3243
,"Montgomery County, TX","48339","January","1",725
,"Montgomery County, TX","48339","February","2",670
,"Montgomery County, TX","48339","March","3",731
,"Montgomery County, TX","48339","April","4",709
,"Montgomery County, TX","48339","May","5",801
,"Montgomery County, TX","48339","June","6",704
,"Montgomery County, TX","48339","July","7",825
,"Montgomery County, TX","48339","August","8",847
,"Montgomery County, TX","48339","September","9",810
,"Montgomery County, TX","48339","October","10",849
,"Montgomery County, TX","48339","November","11",731
,"Montgomery County, TX","48339","December","12",818
"Total","Montgomery County, TX","48339",,,9220
,"Nueces County, TX","48355","January","1",349
,"Nueces County, TX","48355","February","2",318
,"Nueces County, TX","48355","March","3",311
,"Nueces County, TX","48355","April","4",308
,"Nueces County, TX","48355","May","5",334
,"Nueces County, TX","48355","June","6",362
,"Nueces County, TX","48355","July","7",372
,"Nueces County, TX","48355","August","8",414
,"Nueces County, TX","48355","September","9",352
,"Nueces County, TX","48355","October","10",387
,"Nueces County, TX","48355","November","11",357
,"Nueces County, TX","48355","December","12",387
"Total","Nueces County, TX","48355",,,4251
,"Parker County, TX","48367","January","1",166
,"Parker County, TX","48367","February","2",164
,"Parker County, TX","48367","March","3",179
,"Parker County, TX","48367","April","4",178
,"Parker County, TX","48367","May","5",178
,"Parker County, TX","48367","June","6",190
,"Parker County, TX","48367","July","7",183
,"Parker County, TX","48367","August","8",189
,"Parker County, TX","48367","September","9",176
,"Parker County, TX","48367","October","10",160
,"Parker County, TX","48367","November","11",169
,"Parker County, TX","48367","December","12",164
"Total","Parker County, TX","48367",,,2096
,"Potter County, TX","48375","January","1",134
,"Potter County, TX","48375","February","2",136
,"Potter County, TX","48375","March","3",134
,"Potter County, TX","48375","April","4",97
,"Potter County, TX","48375","May","5",122
,"Potter County, TX","48375","June","6",128
,"Potter County, TX","48375","July","7",139
,"Potter County, TX","48375","August","8",136
,"Potter County, TX","48375","September","9",118
,"Potter County, TX","48375","October","10",142
,"Potter County, TX","48375","November","11",104
,"Potter County, TX","48375","December","12",110
"Total","Potter County, TX","48375",,,1500
,"Randall County, TX","48381","January","1",129
,"Randall County, TX","48381","February","2",161
,"Randall County, TX","48381","March","3",161
,"Randall County, TX","48381","April","4",134
,"Randall County, TX","48381","May","5",156
,"Randall County, TX","48381","June","6",139
,"Randall County, TX","48381","July","7",179
,"Randall County, TX","48381","August","8",143
,"Randall County, TX","48381","September","9",135
,"Randall County, TX","48381","October","10",137
,"Randall County, TX","48381","November","11",146
,"Randall County, TX","48381","December","12",160
"Total","Randall County, TX","48381",,,1780
,"Smith County, TX","48423","January","1",257
,"Smith County, TX","48423","February","2",242
,"Smith County, TX","48423","March","3",250
,"Smith County, TX","48423","April","4",245
,"Smith County, TX","48423","May","5",267
,"Smith County, TX","48423","June","6",242
,"Smith County, TX","48423","July","7",281
,"Smith County, TX","48423","August","8",277
,"Smith County, TX","48423","September","9",286
,"Smith County, TX","48423","October","10",277
,"Smith County, TX","48423","November","11",250
,"Smith County, TX","48423","December","12",287
"Total","Smith County, TX","48423",,,3161
